ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,GRD OFF,GRD COUNT,ENRL TOT,LONG CRSE TITLE
Fall 2020,STATS,2,A+,31,257,Introduction to Statistics
Fall 2020,STATS,2,A,76,257,Introduction to Statistics
Fall 2020,STATS,2,A-,59,257,Introduction to Statistics
Fall 2020,STATS,2,B+,27,257,Introduction to Statistics
Fall 2020,STATS,2,B,27,257,Introduction to Statistics
Fall 2020,STATS,2,B-,18,257,Introduction to Statistics
Fall 2020,STATS,2,C+,11,257,Introduction to Statistics
Fall 2020,STATS,2,C,2,257,Introduction to Statistics
Fall 2020,STATS,2,C-,3,257,Introduction to Statistics
Fall 2020,STATS,2,F,3,257,Introduction to Statistics
Spring 2021,STATS,2,A+,25,268,Introduction to Statistics
Spring 2021,STATS,2,A,99,268,Introduction to Statistics
Spring 2021,STATS,2,A-,52,268,Introduction to Statistics
Spring 2021,STATS,2,B+,23,268,Introduction to Statistics
Spring 2021,STATS,2,B,31,268,Introduction to Statistics
Spring 2021,STATS,2,B-,11,268,Introduction to Statistics
Spring 2021,STATS,2,C+,15,268,Introduction to Statistics
Spring 2021,STATS,2,C,5,268,Introduction to Statistics
Spring 2021,STATS,2,F,7,268,Introduction to Statistics
Summer 2021,STATS,2,A+,9,110,Introduction to Statistics
Summer 2021,STATS,2,A,23,110,Introduction to Statistics
Summer 2021,STATS,2,A-,28,110,Introduction to Statistics
Summer 2021,STATS,2,B+,15,110,Introduction to Statistics
Summer 2021,STATS,2,B,11,110,Introduction to Statistics
Summer 2021,STATS,2,B-,11,110,Introduction to Statistics
Summer 2021,STATS,2,C+,5,110,Introduction to Statistics
Summer 2021,STATS,2,C,2,110,Introduction to Statistics
Summer 2021,STATS,2,C-,3,110,Introduction to Statistics
Summer 2021,STATS,2,D-,1,110,Introduction to Statistics
Summer 2021,STATS,2,F,2,110,Introduction to Statistics
Fall 2021,STATS,2,A+,14,330,Introduction to Statistics
Fall 2021,STATS,2,A,48,330,Introduction to Statistics
Fall 2021,STATS,2,A-,58,330,Introduction to Statistics
Fall 2021,STATS,2,B+,46,330,Introduction to Statistics
Fall 2021,STATS,2,B,53,330,Introduction to Statistics
Fall 2021,STATS,2,B-,30,330,Introduction to Statistics
Fall 2021,STATS,2,C+,41,330,Introduction to Statistics
Fall 2021,STATS,2,C,17,330,Introduction to Statistics
Fall 2021,STATS,2,C-,11,330,Introduction to Statistics
Fall 2021,STATS,2,F,12,330,Introduction to Statistics
Spring 2022,STATS,2,A+,23,368,Introduction to Statistics
Spring 2022,STATS,2,A,46,368,Introduction to Statistics
Spring 2022,STATS,2,A-,49,368,Introduction to Statistics
Spring 2022,STATS,2,B+,68,368,Introduction to Statistics
Spring 2022,STATS,2,B,58,368,Introduction to Statistics
Spring 2022,STATS,2,B-,34,368,Introduction to Statistics
Spring 2022,STATS,2,C+,41,368,Introduction to Statistics
Spring 2022,STATS,2,C,24,368,Introduction to Statistics
Spring 2022,STATS,2,C-,15,368,Introduction to Statistics
Spring 2022,STATS,2,F,10,368,Introduction to Statistics
Summer 2022,STATS,2,A+,7,108,Introduction to Statistics
Summer 2022,STATS,2,A,22,157,Introduction to Statistics
Summer 2022,STATS,2,A-,27,157,Introduction to Statistics
Summer 2022,STATS,2,B+,30,157,Introduction to Statistics
Summer 2022,STATS,2,B,17,157,Introduction to Statistics
Summer 2022,STATS,2,B-,19,157,Introduction to Statistics
Summer 2022,STATS,2,C+,11,157,Introduction to Statistics
Summer 2022,STATS,2,C,9,157,Introduction to Statistics
Summer 2022,STATS,2,C-,10,157,Introduction to Statistics
Summer 2022,STATS,2,F,5,157,Introduction to Statistics
Fall 2022,STATS,2,A+,16,385,Introduction to Statistics
Fall 2022,STATS,2,A,86,385,Introduction to Statistics
Fall 2022,STATS,2,A-,30,385,Introduction to Statistics
Fall 2022,STATS,2,B+,52,385,Introduction to Statistics
Fall 2022,STATS,2,B,63,385,Introduction to Statistics
Fall 2022,STATS,2,B-,34,385,Introduction to Statistics
Fall 2022,STATS,2,C+,51,385,Introduction to Statistics
Fall 2022,STATS,2,C,35,385,Introduction to Statistics
Fall 2022,STATS,2,C-,10,385,Introduction to Statistics
Fall 2022,STATS,2,F,8,385,Introduction to Statistics
Spring 2023,STATS,2,A+,17,431,Introduction to Statistics
Spring 2023,STATS,2,A,84,431,Introduction to Statistics
Spring 2023,STATS,2,A-,43,431,Introduction to Statistics
Spring 2023,STATS,2,B+,49,431,Introduction to Statistics
Spring 2023,STATS,2,B,52,431,Introduction to Statistics
Spring 2023,STATS,2,B-,48,431,Introduction to Statistics
Spring 2023,STATS,2,C+,73,431,Introduction to Statistics
Spring 2023,STATS,2,C,38,431,Introduction to Statistics
