ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,GRD OFF,GRD COUNT,ENRL TOT,LONG CRSE TITLE
Fall 2020,STATS,133,A+,14,87,Computing Data
Fall 2020,STATS,133,A,26,87,Computing Data
Fall 2020,STATS,133,A-,16,87,Computing Data
Fall 2020,STATS,133,B+,16,87,Computing Data
Fall 2020,STATS,133,B,8,87,Computing Data
Fall 2020,STATS,133,B-,2,87,Computing Data
Fall 2020,STATS,133,C+,2,87,Computing Data
Fall 2020,STATS,133,C-,2,87,Computing Data
Fall 2020,STATS,133,F,3,87,Computing Data
Spring 2021,STATS,133,A+,8,110,Computing Data
Spring 2021,STATS,133,A,61,110,Computing Data
Spring 2021,STATS,133,A-,20,110,Computing Data
Spring 2021,STATS,133,B+,5,110,Computing Data
Spring 2021,STATS,133,B,4,110,Computing Data
Spring 2021,STATS,133,B-,2,110,Computing Data
Spring 2021,STATS,133,C+,4,110,Computing Data
Spring 2021,STATS,133,C,3,110,Computing Data
Spring 2021,STATS,133,C-,1,110,Computing Data
Spring 2021,STATS,133,F,2,110,Computing Data
Fall 2021,STATS,133,A+,8,155,Computing Data
Fall 2021,STATS,133,A,42,155,Computing Data
Fall 2021,STATS,133,A-,29,155,Computing Data
Fall 2021,STATS,133,B+,34,155,Computing Data
Fall 2021,STATS,133,B,22,155,Computing Data
Fall 2021,STATS,133,B-,4,155,Computing Data
Fall 2021,STATS,133,C+,2,155,Computing Data
Fall 2021,STATS,133,C,5,155,Computing Data
Fall 2021,STATS,133,C-,2,155,Computing Data
Fall 2021,STATS,133,F,7,155,Computing Data
Spring 2022,STATS,133,A+,18,133,Computing Data
Spring 2022,STATS,133,A,39,133,Computing Data
Spring 2022,STATS,133,A-,29,133,Computing Data
Spring 2022,STATS,133,B+,17,133,Computing Data
Spring 2022,STATS,133,B,9,133,Computing Data
Spring 2022,STATS,133,B-,4,133,Computing Data
Spring 2022,STATS,133,C+,4,133,Computing Data
Spring 2022,STATS,133,C,4,133,Computing Data
Spring 2022,STATS,133,C-,2,133,Computing Data
Spring 2022,STATS,133,F,7,133,Computing Data
Fall 2022,STATS,133,A+,9,112,Computing Data
Fall 2022,STATS,133,A,42,112,Computing Data
Fall 2022,STATS,133,A-,31,112,Computing Data
Fall 2022,STATS,133,B+,8,112,Computing Data
Fall 2022,STATS,133,B,5,112,Computing Data
Fall 2022,STATS,133,B-,4,112,Computing Data
Fall 2022,STATS,133,C+,3,112,Computing Data
Fall 2022,STATS,133,C,2,112,Computing Data
Fall 2022,STATS,133,D,2,112,Computing Data
Fall 2022,STATS,133,F,6,112,Computing Data
Spring 2023,STATS,133,A+,10,154,Computing Data
Spring 2023,STATS,133,A,45,154,Computing Data
Spring 2023,STATS,133,A-,25,154,Computing Data
Spring 2023,STATS,133,B+,19,154,Computing Data
Spring 2023,STATS,133,B,19,154,Computing Data
Spring 2023,STATS,133,B-,8,154,Computing Data
Spring 2023,STATS,133,C+,4,154,Computing Data
Spring 2023,STATS,133,C,10,154,Computing Data
Spring 2023,STATS,133,C-,2,154,Computing Data
Spring 2023,STATS,133,D,7,154,Computing Data
Spring 2023,STATS,133,F,5,154,Computing Data
Fall 2023,STATS,133,A+,31,170,Computing Data
Fall 2023,STATS,133,A,54,170,Computing Data
Fall 2023,STATS,133,A-,36,170,Computing Data
Fall 2023,STATS,133,B+,20,170,Computing Data
Fall 2023,STATS,133,B,12,170,Computing Data
Fall 2023,STATS,133,B-,5,170,Computing Data
Fall 2023,STATS,133,C+,5,170,Computing Data
Fall 2023,STATS,133,C,3,170,Computing Data
Fall 2023,STATS,133,D,2,170,Computing Data
Fall 2023,STATS,133,F,2,170,Computing Data
Spring 2024,STATS,133,A+,22,180,Computing Data
Spring 2024,STATS,133,A,80,180,Computing Data
Spring 2024,STATS,133,A-,21,180,Computing Data
Spring 2024,STATS,133,B+,18,180,Computing Data
Spring 2024,STATS,133,B,15,180,Computing Data
Spring 2024,STATS,133,B-,8,180,Computing Data
Spring 2024,STATS,133,C+,5,180,Computing Data
Spring 2024,STATS,133,C,4,180,Computing Data
Spring 2024,STATS,133,C-,4,180,Computing Data
Spring 2024,STATS,133,D,1,180,Computing Data
Spring 2024,STATS,133,F,2,180,Computing Data
Fall 2024,STATS,133,A+,20,204,Computing Data
Fall 2024,STATS,133,A,94,204,Computing Data
Fall 2024,STATS,133,A-,44,204,Computing Data
Fall 2024,STATS,133,B+,19,204,Computing Data
Fall 2024,STATS,133,B,12,204,Computing Data
Fall 2024,STATS,133,B-,4,204,Computing Data
Fall 2024,STATS,133,C+,4,204,Computing Data
Fall 2024,STATS,133,C,3,204,Computing Data
Fall 2024,STATS,133,C-,1,204,Computing Data
Fall 2024,STATS,133,D,2,204,Computing Data
Fall 2024,STATS,133,F,1,204,Computing Data
Spring 2025,STATS,133,A+,14,199,Computing Data
Spring 2025,STATS,133,A,94,199,Computing Data
Spring 2025,STATS,133,A-,48,199,Computing Data
Spring 2025,STATS,133,B+,16,199,Computing Data
Spring 2025,STATS,133,B,16,199,Computing Data
Spring 2025,STATS,133,B-,2,199,Computing Data
Spring 2025,STATS,133,C+,2,199,Computing Data
Spring 2025,STATS,133,C,1,199,Computing Data
Spring 2025,STATS,133,C-,3,199,Computing Data
Spring 2025,STATS,133,D,1,199,Computing Data
Spring 2025,STATS,133,F,4,199,Computing Data
Fall 2020,STATS,134,A+,7,140,Concepts of Probability
Fall 2020,STATS,134,A,46,140,Concepts of Probability
Fall 2020,STATS,134,A-,20,140,Concepts of Probability
Fall 2020,STATS,134,B+,17,140,Concepts of Probability
Fall 2020,STATS,134,B,16,140,Concepts of Probability
Fall 2020,STATS,134,B-,9,140,Concepts of Probability
Fall 2020,STATS,134,C+,7,140,Concepts of Probability
Fall 2020,STATS,134,C,2,140,Concepts of Probability
Fall 2020,STATS,134,C-,11,140,Concepts of Probability
Fall 2020,STATS,134,F,5,140,Concepts of Probability
Spring 2021,STATS,134,A+,6,159,Concepts of Probability
Spring 2021,STATS,134,A,52,159,Concepts of Probability
Spring 2021,STATS,134,A-,28,159,Concepts of Probability
Spring 2021,STATS,134,B+,12,159,Concepts of Probability
Spring 2021,STATS,134,B,17,159,Concepts of Probability
