ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,GRD OFF,GRD COUNT,ENRL TOT,LONG CRSE TITLE
Fall 2020,STATS,151A,A+,2,47,Linear Modelling
Fall 2020,STATS,151A,A,19,47,Linear Modelling
Fall 2020,STATS,151A,A-,7,47,Linear Modelling
Fall 2020,STATS,151A,B+,7,47,Linear Modelling
Fall 2020,STATS,151A,B+,9,47,Linear Modelling
Fall 2020,STATS,151A,B-,1,47,Linear Modelling
Fall 2020,STATS,151A,C+,1,47,Linear Modelling
Fall 2020,STATS,151A,D,1,47,Linear Modelling
Spring 2021,STATS,151A,A,20,42,Linear Modelling
Spring 2021,STATS,151A,A-,6,42,Linear Modelling
Spring 2021,STATS,151A,B+,4,42,Linear Modelling
Spring 2021,STATS,151A,B,7,42,Linear Modelling
Spring 2021,STATS,151A,B-,2,42,Linear Modelling
Spring 2021,STATS,151A,C+,1,42,Linear Modelling
Spring 2021,STATS,151A,C-,2,42,Linear Modelling
Fall 2021,STATS,151A,A,18,71,Linear Modelling
Fall 2021,STATS,151A,A-,5,71,Linear Modelling
Fall 2021,STATS,151A,B+,7,71,Linear Modelling
Fall 2021,STATS,151A,B,32,71,Linear Modelling
Fall 2021,STATS,151A,B-,1,71,Linear Modelling
Fall 2021,STATS,151A,C+,1,71,Linear Modelling
Fall 2021,STATS,151A,C,4,71,Linear Modelling
Fall 2021,STATS,151A,D,3,71,Linear Modelling
Fall 2022,STATS,151A,A+,2,31,Linear Modelling
Fall 2022,STATS,151A,A,9,31,Linear Modelling
Fall 2022,STATS,151A,A-,6,31,Linear Modelling
Fall 2022,STATS,151A,B+,4,31,Linear Modelling
Fall 2022,STATS,151A,B,5,31,Linear Modelling
Fall 2022,STATS,151A,B-,5,31,Linear Modelling
Spring 2023,STATS,151A,A+,3,58,Linear Modelling
Spring 2023,STATS,151A,A,10,58,Linear Modelling
Spring 2023,STATS,151A,A-,12,58,Linear Modelling
Spring 2023,STATS,151A,B+,9,58,Linear Modelling
Spring 2023,STATS,151A,B,15,58,Linear Modelling
Spring 2023,STATS,151A,B-,5,58,Linear Modelling
Spring 2023,STATS,151A,C+,2,58,Linear Modelling
Spring 2023,STATS,151A,C,2,58,Linear Modelling
Fall 2023,STATS,151A,A+,3,32,Linear Modelling
Fall 2023,STATS,151A,A,4,32,Linear Modelling
Fall 2023,STATS,151A,A-,4,32,Linear Modelling
Fall 2023,STATS,151A,B+,4,32,Linear Modelling
Fall 2023,STATS,151A,B,6,32,Linear Modelling
Fall 2023,STATS,151A,C+,3,32,Linear Modelling
Fall 2023,STATS,151A,C,2,32,Linear Modelling
Fall 2023,STATS,151A,C-,4,32,Linear Modelling
Fall 2023,STATS,151A,D,2,32,Linear Modelling
Spring 2024,STATS,151A,A+,2,33,Linear Modelling
Spring 2024,STATS,151A,A,6,33,Linear Modelling
Spring 2024,STATS,151A,A-,6,33,Linear Modelling
Spring 2024,STATS,151A,B+,1,33,Linear Modelling
Spring 2024,STATS,151A,B,8,33,Linear Modelling
Spring 2024,STATS,151A,B-,2,33,Linear Modelling
Spring 2024,STATS,151A,C+,1,33,Linear Modelling
Spring 2024,STATS,151A,C,3,33,Linear Modelling
Spring 2024,STATS,151A,D,1,33,Linear Modelling
Spring 2024,STATS,151A,D-,3,33,Linear Modelling
Fall 2024,STATS,151A,A+,1,47,Linear Modelling
Fall 2024,STATS,151A,A,23,47,Linear Modelling
Fall 2024,STATS,151A,A-,4,47,Linear Modelling
Fall 2024,STATS,151A,B,8,47,Linear Modelling
Fall 2024,STATS,151A,B-,2,47,Linear Modelling
Fall 2024,STATS,151A,C,7,47,Linear Modelling
Fall 2024,STATS,151A,F,2,47,Linear Modelling
Spring 2025,STATS,151A,A+,2,50,Linear Modelling
Spring 2025,STATS,151A,A,13,50,Linear Modelling
Spring 2025,STATS,151A,A-,11,50,Linear Modelling
Spring 2025,STATS,151A,B+,6,50,Linear Modelling
Spring 2025,STATS,151A,B,8,50,Linear Modelling
Spring 2025,STATS,151A,B-,4,50,Linear Modelling
Spring 2025,STATS,151A,C+,1,50,Linear Modelling
Spring 2025,STATS,151A,C,4,50,Linear Modelling
Spring 2025,STATS,151A,C-,1,50,Linear Modelling
