ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,GRD OFF,GRD COUNT,ENRL TOT,LONG CRSE TITLE,INSTR NAME
21F,STATS  ,10      ,A+ ,58,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A  ,40,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A- ,23,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B+ ,3,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B  ,9,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B- ,6,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,C+ ,3,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,C  ,6,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,NP ,1,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,P  ,1,150,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A+ ,46,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A  ,47,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A- ,13,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B+ ,7,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B  ,11,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,B- ,6,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,C+ ,9,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,C  ,3,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,D+ ,1,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,P  ,1,144,Introduction to Statistical Reasoning,"CHA, MARIA"
21F,STATS  ,10      ,A+ ,26,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,A  ,54,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,A- ,15,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
21F,STATS  ,10      ,B+ ,8,140,Introduction to Statistical Reasoning,"WANG, BINGLING"
