ENROLLMENT TERM,SUBJECT AREA,CATLG NBR,LONG CRSE TITLE,INSTR NAME,GRD OFF,GRD COUNT,ENRL TOT
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"CHA, MARIA",A+,104,291
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"CHA, MARIA",A,87,291
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"CHA, MARIA",A-,36,291
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"CHA, MARIA",B+,10,291
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"CHA, MARIA",B,20,291
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"CHA, MARIA",B-,12,291
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"CHA, MARIA",C+,12,291
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"CHA, MARIA",C,9,291
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"CHA, MARIA",D+,1,291
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",A+,63,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",A,107,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",A-,21,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",B+,21,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",B,11,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",B-,10,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",C+,8,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",C,7,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",D+,4,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",D,2,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",D-,2,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",F,9,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WANG, BINGLING",C-,5,270
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WU, GUANI",A+,1,136
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WU, GUANI",A,30,136
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WU, GUANI",A-,32,136
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WU, GUANI",B+,23,136
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WU, GUANI",B,14,136
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WU, GUANI",C+,11,136
21F,STATS,10,INTRODUCTION TO STATISTICAL REASONING,"WU, GUANI",C,12,136
